danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence
0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,audio_features,5XeFesFbtLpXzIVDNQP22n,183956,4,0.097,1.0,0.545,0.533
0.52,0.852,0,-5.866,1,0.0543,0.00237,5.79e-05,0.0733,0.234,140.267,audio_features,58ge6dfP91o9oXMzq3XkIS,253587,4,0.82,0.95,0.641,0.581
0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,audio_features,5FVd6KXrgO9B3JPmC8OPst,272394,4,0.575,0.642,0.074,0.094
0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,audio_features,086myS9r57YsLbJpU0TgK9,161124,4,0.411,1.0,0.122,0.455
0.288,0.758,6,-5.692,0,0.0371,0.00616,0.0,0.303,0.619,97.094,audio_features,2AT8iROs4FQueDv2c8q2KE,201726,4,0.174,0.976,0.124,0.448
0.646,0.813,6,-5.29,0,0.0288,0.00178,2.26e-05,0.144,0.821,112.115,audio_features,7e8utCy2JlSB8dRHKi49xM,173493,4,0.853,1.0,0.458,0.39
0.728,0.638,5,-6.455,0,0.0336,0.249,0.0,0.116,0.872,130.014,audio_features,0NdTUS4UiNYCNn5FgVqKQY,193030,4,0.208,1.0,0.528,0.526
0.579,0.558,2,-6.986,1,0.0895,0.0202,1.26e-06,0.212,0.506,179.949,audio_features,7nzsY8vlnKdvGOEE0rjAXZ,207357,4,0.131,1.0,0.604,0.544
0.665,0.542,11,-8.323,0,0.033,0.123,0.00291,0.342,0.587,97.975,audio_features,2LGdO5MtFdyphi2EihANZG,257563,4,0.68,1.0,0.345,0.4
0.634,0.599,2,-5.447,1,0.0365,0.0288,0.0,0.197,0.312,112.215,audio_features,2fyIS6GXMgUcSv4oejx63f,175440,4,0.795,1.0,0.634,0.633
0.671,0.939,8,-3.206,1,0.161,0.191,0.0,0.298,0.53,129.024,audio_features,4QNpBfC0zvjKqPJcyqBy9W,252307,4,0.783,1.0,0.099,0.286
0.581,0.963,11,-4.087,1,0.0981,0.0295,0.0,0.139,0.788,129.992,audio_features,3cHyrEgdyYRjgJKSOiOtcS,204160,4,0.951,1.0,0.493,0.495
0.721,0.802,1,-5.797,1,0.0583,0.0921,0.0,0.694,0.724,124.022,audio_features,2bJvI42r8EF3wxjOuDav4r,229360,4,0.695,1.0,0.0,0.194
0.673,0.758,7,-3.632,1,0.158,0.039,0.0,0.341,0.542,135.956,audio_features,0Hf4aIJpsN4Os2f0y0VqWl,229507,4,0.274,0.817,0.623,0.622
0.761,0.933,10,-5.38,1,0.056,0.0908,8.53e-05,0.0607,0.836,122.959,audio_features,4Y7XAxTANhu3lmnLAzhWJW,236200,4,0.854,1.0,0.777,0.38
